time_utc,load_mw_actual,load_mw_dam,load_mw_rtpd
2021-07-12 07:00:00,26871,28241,26753.2500
2021-07-12 08:00:00,25503,26645,25152.2500
2021-07-12 09:00:00,24736,25418,24095.7500
2021-07-12 10:00:00,24346,24731,23476.2500
2021-07-12 11:00:00,24451,24820,23566.2500
2021-07-12 12:00:00,25166,25637,24416.5000
2021-07-12 13:00:00,26687,26489,25345.0000
2021-07-12 14:00:00,28275,27893,26791.7500
2021-07-12 15:00:00,29190,29029,27832.0000
2021-07-12 16:00:00,30086,29787,28429.7500
2021-07-12 17:00:00,30916,30878,29212.0000
2021-07-12 18:00:00,31820,32134,30266.0000
2021-07-12 19:00:00,32917,33607,31577.2500
2021-07-12 20:00:00,34220,35286,33276.5000
2021-07-12 21:00:00,35649,36899,34692.0000
2021-07-12 22:00:00,36930,38368,36398.0000
2021-07-12 23:00:00,37869,39557,37533.0000
2021-07-13 00:00:00,38446,40374,38234.2500
2021-07-13 01:00:00,38228,40363,38294.0000
2021-07-13 02:00:00,37250,39193,36978.7500
2021-07-13 03:00:00,36158,37828,35915.2500
2021-07-13 04:00:00,34484,36215,34623.2500
2021-07-13 05:00:00,31975,33466,31997.7500
2021-07-13 06:00:00,29589,30887,29365.7500
2021-07-13 07:00:00,27835,27990,27426.0000
2021-07-13 08:00:00,26413,26392,25959.5000
2021-07-13 09:00:00,25422,25314,24919.0000
2021-07-13 10:00:00,25074,24700,24278.2500
2021-07-13 11:00:00,25263,24680,24371.7500
2021-07-13 12:00:00,25869,25334,25045.5000
2021-07-13 13:00:00,27000,26166,25964.2500
2021-07-13 14:00:00,28533,27503,27095.2500
2021-07-13 15:00:00,29462,28246,27957.5000
2021-07-13 16:00:00,30378,28625,28695.0000
2021-07-13 17:00:00,31360,29321,29505.2500
2021-07-13 18:00:00,32396,30405,30609.0000
2021-07-13 19:00:00,33438,31583,32039.0000
2021-07-13 20:00:00,34597,33183,33691.0000
2021-07-13 21:00:00,35748,34531,34888.5000
2021-07-13 22:00:00,36924,35999,36136.2500
2021-07-13 23:00:00,37756,37070,37363.2500
2021-07-14 00:00:00,38334,38030,38041.2500
2021-07-14 01:00:00,38095,38248,38089.2500
2021-07-14 02:00:00,37137,37262,36868.7500
2021-07-14 03:00:00,36162,36221,35817.2500
2021-07-14 04:00:00,34550,34788,34599.7500
2021-07-14 05:00:00,32178,32188,32028.2500
2021-07-14 06:00:00,29646,29674,29586.2500
2021-07-14 07:00:00,27740,27854,27579.7500
2021-07-14 08:00:00,26351,26316,25961.5000
2021-07-14 09:00:00,25341,25245,24859.2500
2021-07-14 10:00:00,25063,24622,24213.7500
2021-07-14 11:00:00,25288,24673,24210.7500
2021-07-14 12:00:00,26114,25407,24966.2500
2021-07-14 13:00:00,27225,26040,25857.7500
2021-07-14 14:00:00,28608,27057,27049.5000
2021-07-14 15:00:00,29778,27742,27785.7500
2021-07-14 16:00:00,30656,28117,28062.7500
2021-07-14 17:00:00,30828,28777,29013.5000
2021-07-14 18:00:00,31691,29728,29756.0000
2021-07-14 19:00:00,32917,30781,30972.5000
2021-07-14 20:00:00,34338,32311,32580.7500
2021-07-14 21:00:00,35358,33823,34146.0000
2021-07-14 22:00:00,36484,35252,35703.7500
2021-07-14 23:00:00,37207,36464,36712.7500
2021-07-15 00:00:00,37960,37407,37540.0000
2021-07-15 01:00:00,37932,37591,37602.7500
2021-07-15 02:00:00,36995,36616,36638.2500
2021-07-15 03:00:00,35937,35557,35788.0000
2021-07-15 04:00:00,34476,34189,34412.5000
2021-07-15 05:00:00,31963,31625,31956.7500
2021-07-15 06:00:00,29519,29165,29471.2500
2021-07-15 07:00:00,27702,27358,27362.0000
2021-07-15 08:00:00,26326,25927,25978.7500
2021-07-15 09:00:00,25545,24875,24884.2500
2021-07-15 10:00:00,25224,24291,24199.2500
2021-07-15 11:00:00,25336,24361,24344.7500
2021-07-15 12:00:00,26004,25120,25115.2500
2021-07-15 13:00:00,27063,25709,25819.2500
2021-07-15 14:00:00,28495,26703,26976.5000
2021-07-15 15:00:00,29311,27295,27624.0000
2021-07-15 16:00:00,29772,27591,27979.5000
2021-07-15 17:00:00,30336,27972,28500.2500
2021-07-15 18:00:00,31084,28543,29409.5000
2021-07-15 19:00:00,32103,29385,30500.0000
